,track_id,frame_id,a,v,x,y,omega,phi,ped1_x,ped1_y,ped2_x,ped2_y,ped3_x,ped3_y,r,direction
965,8_7_2_89,8_7_2_1967,-0.7081900101250996,7.390991058355597,20.874577293189397,-5.091398919272844,-0.03893167992743286,3.141220252538584,4.330794564846518,8.978275950895597,2.0825461376641363,8.155502669246271,2.3757233083084572,8.936570473031583,1.3087563689628556,down
966,8_7_2_89,8_7_2_1977,-0.991890555721485,6.682092149321454,13.832780666561383,-4.953851324853279,-0.0932328992864312,3.1022496019605725,4.354524202335119,1.5803351511670545,2.309480098643504,-0.31035250675762854,2.4895782778487656,0.44200593089564566,1.9348904211886948,down
967,8_7_2_89,8_7_2_1987,-0.14363183736511728,5.689208710160851,7.6653996879020205,-4.4298633355191726,-0.20527242291765285,3.0089233764486334,4.173872982643689,-5.057084190732148,2.4970933176466223,-7.698123271139827,0.0,0.0,0.8966114408710293,down
968,8_7_2_89,8_7_2_1997,-0.07132777066864848,5.5454330971827535,2.2065809737455195,-3.1230679077082097,-0.23000116774291743,2.8034454756301592,5.362308829463057,-9.91443308037696,0.0,0.0,0.0,0.0,0.7659416275072348,down
969,8_7_2_89,8_7_2_2007,0.045279204046653566,5.4740339273442675,-2.741410834099119,-0.7144951933020478,-0.2590516413183644,2.573214076488103,7.737252451432423,-14.086157602992369,0.0,0.0,0.0,0.0,0.29356572906881584,down
970,8_7_2_99,8_7_2_2121,-0.5413727009393492,7.158637516539053,20.77047715597647,-5.087283658865873,-0.01482132662105641,3.1156651183048654,4.329713409900261,8.872864488799658,7.820511811961603,20.801134060792766,8.788082570843727,19.547519137116712,1.0426334224664435,down
971,8_7_2_99,8_7_2_2131,-0.48570123728895237,6.616722900984157,13.879775997618943,-4.858094811510064,-0.05618126038567055,3.1008289555210253,4.1667648060191205,1.7108930877325046,7.4061146572987075,12.723241586760516,8.047181437339853,11.71833035104726,1.604768047211031,down
972,8_7_2_99,8_7_2_2141,-0.4487738027769548,6.13053547627047,7.5155784675084645,-4.421304669669873,-0.14124065341840905,3.044591457637469,3.933717289877574,-4.898427054663165,6.937980332149695,5.249319844680938,7.366866048775781,4.4133554932986705,1.7531880356712173,down
973,8_7_2_99,8_7_2_2151,-0.48978346731278394,5.681312450467719,1.6906401608280943,-3.4406182914908747,-0.22282536895894314,2.903209422183608,4.472664019698396,-10.612123613325071,6.4152092102749325,-1.2411269358442523,6.871978499804902,-1.832426075011147,0.6063024764769565,down
974,8_7_2_99,8_7_2_2161,-0.4203011022040709,5.1910387094139026,-3.413772436129233,-1.5875960011556127,-0.29576934914184655,2.680161004807298,6.767832594832572,-15.237670934818297,6.977847645965749,-6.58992611653532,7.6966322858242755,-6.861234235356157,0.3017385476944434,down
975,8_8_1_155,8_8_1_3138,0.88347018844126,5.989265085916774,20.94950252072354,-4.179049057030877,-0.00917662667957406,3.1236343160358215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,on
976,8_8_1_155,8_8_1_3148,-1.0180315337916406,6.873619628901055,14.513297142113649,-4.033202202430601,0.0005459132559307362,3.114448503543755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,on
977,8_8_1_155,8_8_1_3158,-0.7724644410079271,5.854569044525054,8.145179091284714,-3.860302584034376,-0.03288420275775178,3.114448503543755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,on
978,8_8_1_155,8_8_1_3168,-0.1426460895985828,5.081331365838407,2.6771119922318425,-3.623853977751054,-0.2005555221046583,3.0815313836661242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,on
